n_rels,trial,cstl_bytes,json_compact_bytes,json_pretty_bytes,yaml_bytes,cstl_gz,json_compact_gz,json_pretty_gz,yaml_gz
1,0,65,129,204,124,81,132,155,124
1,1,66,130,205,125,81,132,155,125
1,2,62,126,201,121,78,129,152,118
1,3,66,130,205,125,81,133,156,125
1,4,63,127,202,122,76,129,152,121
1,5,62,126,201,121,77,129,152,120
1,6,66,130,205,125,82,132,155,124
1,7,66,130,205,125,81,133,155,126
1,8,66,130,205,125,82,133,156,125
1,9,66,130,205,125,81,132,155,124
1,10,66,130,205,125,79,131,152,123
1,11,67,131,206,126,83,134,157,126
1,12,67,131,206,126,82,134,157,125
1,13,66,130,205,125,80,131,154,124
1,14,67,131,206,126,83,132,155,125
1,15,64,128,203,123,80,131,154,123
1,16,67,131,206,126,83,133,156,126
1,17,67,131,206,126,82,133,156,125
1,18,67,131,206,126,82,132,156,125
1,19,67,131,206,126,81,132,155,125
5,0,198,446,721,461,146,198,225,190
5,1,192,440,715,455,152,212,242,202
5,2,195,443,718,458,155,206,237,196
5,3,190,438,713,453,152,204,235,195
5,4,197,445,720,460,156,208,237,199
5,5,191,439,714,454,139,192,224,185
5,6,192,440,715,455,156,209,236,200
5,7,193,441,716,456,148,201,234,192
5,8,197,445,720,460,152,204,231,195
5,9,197,445,720,460,145,199,228,189
5,10,192,440,715,455,141,193,221,183
5,11,197,445,720,460,157,210,238,201
5,12,194,442,717,457,150,204,231,195
5,13,195,443,718,458,153,205,237,196
5,14,194,442,717,457,146,204,233,195
5,15,196,444,719,459,139,192,221,184
5,16,195,443,718,458,159,209,238,200
5,17,191,439,714,454,145,199,229,190
5,18,197,445,720,460,149,200,231,192
5,19,191,439,714,454,155,208,237,198
10,0,358,836,1361,876,210,266,303,255
10,1,349,827,1352,867,209,269,302,260
10,2,353,831,1356,871,217,276,311,267
10,3,357,835,1360,875,212,271,307,263
10,4,346,824,1349,864,203,262,296,253
10,5,345,823,1348,863,204,264,298,253
10,6,343,821,1346,861,203,258,294,249
10,7,349,827,1352,867,205,265,299,252
10,8,358,836,1361,876,197,248,287,239
10,9,359,837,1362,877,214,273,309,265
10,10,358,836,1361,876,213,273,309,262
10,11,353,831,1356,871,205,265,301,250
10,12,350,828,1353,868,213,272,304,262
10,13,357,835,1360,875,213,272,306,263
10,14,357,835,1360,875,211,268,305,259
10,15,359,837,1362,877,207,263,300,254
10,16,352,830,1355,870,212,273,305,265
10,17,358,836,1361,876,211,270,303,262
10,18,355,833,1358,873,219,279,313,272
10,19,351,829,1354,869,216,272,307,265
25,0,835,2003,3278,2118,333,410,457,401
25,1,842,2010,3285,2125,329,405,451,395
25,2,827,1995,3270,2110,337,411,458,400
25,3,831,1999,3274,2114,333,403,448,393
25,4,825,1993,3268,2108,334,417,460,406
25,5,834,2002,3277,2117,330,400,449,393
25,6,843,2011,3286,2126,340,411,458,401
25,7,830,1998,3273,2113,340,412,457,402
25,8,836,2004,3279,2119,331,408,452,399
25,9,833,2001,3276,2116,341,417,460,405
25,10,836,2004,3279,2119,337,411,455,399
25,11,846,2014,3289,2129,329,394,441,390
25,12,825,1993,3268,2108,331,409,454,397
25,13,845,2013,3288,2128,336,408,456,400
25,14,841,2009,3284,2124,329,399,445,388
25,15,829,1997,3272,2112,339,413,461,405
25,16,842,2010,3285,2125,337,413,460,404
25,17,842,2010,3285,2125,346,419,466,411
25,18,836,2004,3279,2119,328,399,446,391
25,19,827,1995,3270,2110,336,413,455,406
50,0,1635,3953,6478,4193,518,618,681,609
50,1,1619,3937,6462,4177,518,614,675,604
50,2,1622,3940,6465,4180,511,607,663,603
50,3,1627,3945,6470,4185,509,604,667,599
50,4,1630,3948,6473,4188,512,609,672,601
50,5,1636,3954,6479,4194,519,618,680,609
50,6,1621,3939,6464,4179,510,604,666,596
50,7,1643,3961,6486,4201,519,614,674,608
50,8,1629,3947,6472,4187,520,623,687,614
50,9,1639,3957,6482,4197,516,613,677,606
50,10,1621,3939,6464,4179,517,617,681,607
50,11,1634,3952,6477,4192,514,606,669,598
50,12,1636,3954,6479,4194,518,616,679,608
50,13,1629,3947,6472,4187,516,609,671,599
50,14,1644,3962,6487,4202,535,631,695,626
50,15,1639,3957,6482,4197,509,608,671,600
50,16,1639,3957,6482,4197,514,617,682,608
50,17,1619,3937,6462,4177,518,619,680,613
50,18,1642,3960,6485,4200,524,621,685,614
50,19,1629,3947,6472,4187,523,614,678,606
100,0,3223,7841,12866,8331,868,1010,1103,1000
100,1,3251,7869,12894,8359,871,1018,1110,1005
100,2,3217,7835,12860,8325,859,990,1086,984
100,3,3244,7862,12887,8352,850,979,1073,981
100,4,3228,7846,12871,8336,864,1002,1089,994
100,5,3243,7861,12886,8351,869,1002,1096,1004
100,6,3238,7856,12881,8346,861,996,1091,985
100,7,3242,7860,12885,8350,848,982,1074,979
100,8,3206,7824,12849,8314,856,989,1082,986
100,9,3227,7845,12870,8335,858,989,1078,982
100,10,3236,7854,12879,8344,852,985,1075,979
100,11,3253,7871,12896,8361,865,995,1087,990
100,12,3242,7860,12885,8350,880,1012,1108,1008
100,13,3231,7849,12874,8339,870,1003,1097,993
100,14,3210,7828,12853,8318,866,1006,1096,999
100,15,3250,7868,12893,8358,855,993,1084,989
100,16,3242,7860,12885,8350,876,1013,1105,1007
100,17,3222,7840,12865,8330,858,998,1089,994
100,18,3247,7865,12890,8355,853,991,1083,987
100,19,3202,7820,12845,8310,851,991,1079,983
